Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
321	1.60000000e+01	-1.01036389e-03	4.03767452e-03
322	1.60500000e+01	-1.27025577e-03	1.62062312e-03
323	1.61000000e+01	-7.29377792e-04	-1.31753031e-03
324	1.61500000e+01	2.35982686e-04	-3.28099732e-03
325	1.62000000e+01	1.34358195e-03	-3.56585860e-03
326	1.62500000e+01	2.10218285e-03	-2.41118606e-03
327	1.63000000e+01	1.79590582e-03	-6.34831421e-04
328	1.63500000e+01	1.90409601e-04	9.10461899e-04
329	1.64000000e+01	-2.03871821e-03	1.63444652e-03
330	1.64500000e+01	-3.60648753e-03	1.40143401e-03
331	1.65000000e+01	-3.45449712e-03	5.75975830e-04
332	1.65500000e+01	-1.60407392e-03	-2.72451599e-04
333	1.66000000e+01	8.51972946e-04	-7.00914234e-04
334	1.66500000e+01	2.59013792e-03	-6.17082528e-04
335	1.67000000e+01	2.84747047e-03	-2.81462160e-04
336	1.67500000e+01	1.71957313e-03	-9.24086030e-07
337	1.68000000e+01	3.03449851e-06	9.46381697e-05
338	1.68500000e+01	-1.27764069e-03	8.19450017e-05
339	1.69000000e+01	-1.47259096e-03	1.43374127e-04
340	1.69500000e+01	-6.35676247e-04	3.11091867e-04
341	1.70000000e+01	7.12901213e-04	4.15597470e-04
342	1.70500000e+01	1.88926943e-03	2.76994004e-04
343	1.71000000e+01	2.11779229e-03	-1.31173969e-04
344	1.71500000e+01	9.09497582e-04	-5.91576464e-04
345	1.72000000e+01	-1.37085504e-03	-7.93622109e-04
346	1.72500000e+01	-3.47767324e-03	-5.77053459e-04
347	1.73000000e+01	-3.96848159e-03	-4.78625922e-05
348	1.73500000e+01	-2.29292591e-03	3.99392243e-04
349	1.74000000e+01	5.96576447e-04	4.37027495e-04
350	1.74500000e+01	2.93118382e-03	4.55413128e-05
351	1.75000000e+01	3.47217119e-03	-8.46909569e-04
352	1.75500000e+01	2.24413224e-03	-2.12759961e-03
353	1.76000000e+01	2.74346236e-04	-2.80611951e-03
354	1.76500000e+01	-1.23634677e-03	-1.63653766e-03
355	1.77000000e+01	-1.66258253e-03	1.45554260e-03
356	1.77500000e+01	-1.14427825e-03	4.88075192e-03
357	1.78000000e+01	-2.48436061e-04	6.32953268e-03
358	1.78500000e+01	4.67459481e-04	4.61162303e-03
359	1.79000000e+01	7.35764828e-04	7.43461966e-04
360	1.79500000e+01	5.92428072e-04	-2.93555058e-03
361	1.80000000e+01	5.46479600e-05	-4.59628960e-03
